name	version	license	license_source
piper	0.2.4	MIT OR Apache-2.0	vendor/piper/Cargo.toml
plist	1.7.1	MIT	vendor/plist/Cargo.toml
polling	3.7.4	Apache-2.0 OR MIT	vendor/polling/Cargo.toml
portable-atomic	1.11.0	Apache-2.0 OR MIT	vendor/portable-atomic/Cargo.toml
portable-atomic-util	0.2.4	Apache-2.0 OR MIT	vendor/portable-atomic-util/Cargo.toml
powerfmt	0.2.0	MIT OR Apache-2.0	vendor/powerfmt/Cargo.toml
ppv-lite86	0.2.21	MIT OR Apache-2.0	vendor/ppv-lite86/Cargo.toml
predicates	3.1.3	MIT OR Apache-2.0	vendor/predicates/Cargo.toml
predicates-core	1.0.9	MIT OR Apache-2.0	vendor/predicates-core/Cargo.toml
predicates-tree	1.0.12	MIT OR Apache-2.0	vendor/predicates-tree/Cargo.toml
proc-macro-crate	3.3.0	MIT OR Apache-2.0	vendor/proc-macro-crate/Cargo.toml
proc-macro2	1.0.95	MIT OR Apache-2.0	vendor/proc-macro2/Cargo.toml
process_control	5.0.0	MIT OR Apache-2.0	vendor/process_control/Cargo.toml
prodash	29.0.2	MIT	vendor/prodash/Cargo.toml
quick-xml	0.32.0	MIT	vendor/quick-xml-0.32.0/Cargo.toml
quick-xml	0.37.5	MIT	vendor/quick-xml/Cargo.toml
quote	1.0.40	MIT OR Apache-2.0	vendor/quote/Cargo.toml
r-efi	5.2.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	vendor/r-efi/Cargo.toml
rand	0.8.5	MIT OR Apache-2.0	vendor/rand-0.8.5/Cargo.toml
rand	0.9.1	MIT OR Apache-2.0	vendor/rand/Cargo.toml
rand_chacha	0.3.1	MIT OR Apache-2.0	vendor/rand_chacha-0.3.1/Cargo.toml
rand_chacha	0.9.0	MIT OR Apache-2.0	vendor/rand_chacha/Cargo.toml
rand_core	0.6.4	MIT OR Apache-2.0	vendor/rand_core-0.6.4/Cargo.toml
rand_core	0.9.3	MIT OR Apache-2.0	vendor/rand_core/Cargo.toml
rayon	1.10.0	MIT OR Apache-2.0	vendor/rayon/Cargo.toml
rayon-core	1.12.1	MIT OR Apache-2.0	vendor/rayon-core/Cargo.toml
redox_syscall	0.5.11	MIT	vendor/redox_syscall/Cargo.toml
redox_users	0.4.6	MIT	vendor/redox_users-0.4.6/Cargo.toml
redox_users	0.5.0	MIT	vendor/redox_users/Cargo.toml
regex	1.11.1	MIT OR Apache-2.0	vendor/regex/Cargo.toml
regex-automata	0.4.9	MIT OR Apache-2.0	vendor/regex-automata/Cargo.toml
regex-syntax	0.8.5	MIT OR Apache-2.0	vendor/regex-syntax/Cargo.toml
rust-ini	0.21.1	MIT	vendor/rust-ini/Cargo.toml
